-------+-------+----+----------+-----+--------+--------------+------+----------+---------+-----------+---------+----------------+-----------------------+-----------------+-----------------+----------+----------+-------------
 round | turn  | P  | src      | idx | color  | dest         | drow | total    | visits  | value     | avg     | h_floor_action | h_first_player_marker | h_line_progress | h_base_priority | h_ev_row | h_ev_col | h_adjacency 
 4     | 2     | 0  | factory  | 1   | black  | pattern_line | 3    |     7.22 |     113 |    2206.0 |   19.52 |           0.00 |                  0.00 |            2.00 |            2.00 |     0.67 |     0.55 |        2.00 
 4     | 3     | 1  | factory  | 2   | black  | pattern_line | 0    |    15.16 |     239 |     558.0 |    2.33 |           0.00 |                  0.00 |            2.00 |            5.00 |     3.61 |     0.55 |        4.00 
 4     | 4     | 0  | factory  | 0   | green  | pattern_line | 0    |    17.16 |     247 |    7208.0 |   29.18 |           0.00 |                  0.00 |            2.00 |            5.00 |     3.61 |     0.55 |        6.00 
 4     | 5     | 1  | center   |     | red    | pattern_line | 1    |    11.08 |     288 |    1080.0 |    3.75 |           0.00 |                  0.90 |            2.00 |            4.00 |     1.63 |     0.55 |        2.00 
 4     | 6     | 0  | factory  | 3   | green  | pattern_line | 4    |    12.34 |     292 |    9732.0 |   33.33 |           0.00 |                  0.00 |            2.00 |            1.00 |     0.67 |     3.68 |        5.00 
 4     | 7     | 1  | center   |     | blue   | pattern_line | 2    |    11.09 |     296 |   -1276.0 |   -4.31 |           0.00 |                  0.00 |            2.00 |            3.00 |     1.63 |     1.47 |        3.00 
 4     | 8     | 0  | center   |     | black  | pattern_line | 1    |     9.16 |     279 |    6975.0 |   25.00 |           0.00 |                  0.00 |            0.00 |            4.00 |     3.61 |     0.55 |        1.00 
 4     | 9     | 1  | center   |     | yellow | floor        |      |     1.03 |     300 |   -7500.0 |  -25.00 |           0.03 |                  0.00 |            0.00 |            1.00 |     0.00 |     0.00 |        0.00 
 5     | 1     | 1  | factory  | 4   | green  | pattern_line | 3    |     4.92 |      60 |   -1142.0 |  -19.03 |           0.00 |                  0.00 |            0.22 |            2.00 |     0.14 |     0.55 |        2.00 
 5     | 2     | 0  | factory  | 0   | yellow | pattern_line | 0    |    17.55 |      55 |    1452.0 |   26.40 |           0.00 |                  0.00 |            2.00 |            5.00 |     5.00 |     0.55 |        5.00 
 5     | 3     | 1  | factory  | 2   | yellow | pattern_line | 0    |    17.55 |     147 |   -2108.0 |  -14.34 |           0.00 |                  0.00 |            2.00 |            5.00 |     5.00 |     0.55 |        5.00 
 5     | 4     | 0  | factory  | 1   | black  | pattern_line | 1    |    11.16 |     152 |    4794.0 |   31.54 |           0.00 |                  0.00 |            2.00 |            4.00 |     3.61 |     0.55 |        1.00 
 5     | 5     | 1  | factory  | 3   | black  | pattern_line | 1    |    14.16 |     271 |   -1401.0 |   -5.17 |           0.00 |                  0.00 |            2.00 |            4.00 |     3.61 |     0.55 |        4.00 
 5     | 6     | 0  | center   |     | red    | pattern_line | 4    |    13.65 |     252 |    8089.0 |   32.10 |           0.00 |                  0.35 |            2.00 |            1.00 |     1.63 |     3.68 |        5.00 
 5     | 7     | 1  | center   |     | green  | pattern_line | 3    |     6.70 |     283 |   -2631.0 |   -9.30 |           0.00 |                  0.00 |            2.00 |            2.00 |     0.14 |     0.55 |        2.00 
 5     | 8     | 0  | center   |     | yellow | pattern_line | 2    |    18.29 |     294 |    6740.0 |   22.93 |           0.00 |                  0.00 |            0.00 |            3.00 |     3.61 |     3.68 |        8.00 
 5     | 9     | 1  | center   |     | black  | floor        |      |     1.03 |     291 |   -4959.0 |  -17.04 |           0.03 |                  0.00 |            0.00 |            1.00 |     0.00 |     0.00 |        0.00 
 5     | 10    | 0  | center   |     | blue   | pattern_line | 3    |    11.30 |     299 |    6877.0 |   23.00 |           0.00 |                  0.00 |            0.00 |            2.00 |     1.63 |     3.68 |        4.00 
